,ID,Label,x,y,z
0,1,rh.lateralorbitofrontal,25.00574653668548,33.4624935864546,-16.65079527963058
1,2,rh.parsorbitalis,43.78909196402668,41.465912387583415,-11.845082680591815
2,3,rh.frontalpole,9.595789473684206,67.34421052631578,-8.942105263157899
3,4,rh.medialorbitofrontal,5.798997493734333,40.73834586466165,-15.716624895572266
4,5,rh.parstriangularis,48.399288396916376,31.855505040521848,5.604269618501675
5,6,rh.parsopercularis,48.18627661862766,14.44719294471929,13.449559044955905
6,7,rh.rostralmiddlefrontal,33.75038644300682,47.598900784336166,16.78244689986832
7,8,rh.superiorfrontal,10.978598253472697,33.18741233428352,39.72331568707298
8,9,rh.caudalmiddlefrontal,37.09014598540145,10.222810218978111,46.98868613138686
9,10,rh.precentral,43.13576514190967,-5.411489320198967,39.884131473715016
10,11,rh.paracentral,7.869121140142511,-25.74798099762471,55.49881235154393
11,12,rh.rostralanteriorcingulate,6.376789751318768,38.78183873398643,2.540693293142425
12,13,rh.caudalanteriorcingulate,5.578373847443416,22.59010896898576,26.666806370494555
13,14,rh.posteriorcingulate,5.761144744083651,-16.959823885525594,38.97660979636764
14,15,rh.isthmuscingulate,7.733489775393892,-47.35601743211532,20.763325511230306
15,16,rh.postcentral,47.91148825065275,-19.13812010443864,40.378198433420366
16,17,rh.supramarginal,55.6958577643276,-33.65585398146396,32.80470966521656
17,18,rh.superiorparietal,25.562516709740663,-62.70439354781213,52.29257641921397
18,19,rh.inferiorparietal,44.922471725946565,-64.24233732175053,34.70013112604491
19,20,rh.precuneus,9.751682368775235,-59.08664199192464,38.39333781965007
20,21,rh.cuneus,6.561889250814332,-79.68621064060804,24.155266015200866
21,22,rh.pericalcarine,7.693926638604935,-79.18159951894168,7.6253758268189955
22,23,rh.lateraloccipital,33.85011035409269,-86.47231551674503,1.078015545533063
23,24,rh.lingual,-1.0,-95.33333333333334,-13.333333333333336
24,25,rh.fusiform,34.315741081279896,-34.94317763883781,-24.977013607944095
25,26,rh.parahippocampal,25.042525208241997,-32.24331433581763,-17.452871547566858
26,27,rh.entorhinal,23.986129753914994,-3.9834451901566013,-32.59552572706935
27,28,rh.temporalpole,30.974225122349097,15.017944535073411,-35.34975530179445
28,29,rh.inferiortemporal,51.17753477526736,-29.01929725818124,-25.078555921846103
29,30,rh.middletemporal,58.72162594199588,-20.461292532541677,-14.460150719342316
30,31,rh.bankssts,55.88045903729679,-43.82371692700032,9.95887790883009
31,32,rh.superiortemporal,54.11425994136661,-7.419679771480119,-5.823949485078558
32,33,rh.transversetemporal,45.47906976744187,-20.831395348837205,9.926744186046506
33,34,rh.insula,37.45914101102244,1.4174585075383277,0.7317876599518627
34,35,Right-Thalamus-Proper,11.576144532727966,-18.75435111615589,7.514661369655698
35,36,Right-Caudate,14.02277390233894,9.059294214197791,10.528313500205172
36,37,Right-Putamen,26.46431969552806,1.3693307960672314,0.6181414525848368
37,38,Right-Pallidum,21.443287467460024,-5.0345853477129054,-0.36333209371512964
38,39,Right-Accumbens-area,9.618357487922708,11.916666666666657,-6.359903381642511
39,40,Right-Hippocampus,26.54352296093215,-23.519533927347496,-13.07333790267306
40,41,Right-Amygdala,23.59185480301018,-5.093846834882697,-19.094732182381584
41,42,lh.lateralorbitofrontal,-24.078634146341457,33.89482926829268,-16.32048780487805
42,43,lh.parsorbitalis,-43.18191161356629,39.945529290853045,-12.629667694415893
43,44,lh.frontalpole,-6.731874145006842,67.75239398084815,-7.7975376196990425
44,45,lh.medialorbitofrontal,-4.809914642153643,40.47603414313855,-15.430400525279055
45,46,lh.parstriangularis,-47.44619799139168,32.22190339550454,3.796508847441416
46,47,lh.parsopercularis,-47.12428407789233,15.819969453990069,14.008781977854142
47,48,lh.rostralmiddlefrontal,-32.961379142300196,47.5093201754386,16.518396686159846
48,49,lh.superiorfrontal,-9.884332328427021,31.958015605603833,40.45726192587338
49,50,lh.caudalmiddlefrontal,-35.488764994086836,11.53471870248353,46.368136509545536
50,51,lh.precentral,-42.580769994046435,-5.498412383409402,39.24528676324668
51,52,lh.paracentral,-6.470457697642161,-27.931206657420248,56.957004160887664
52,53,lh.rostralanteriorcingulate,-5.482747395833329,38.09147135416666,3.7327473958333286
53,54,lh.caudalanteriorcingulate,-4.826798793623439,20.283929340801365,28.448944420508397
54,55,lh.posteriorcingulate,-4.973945409429277,-19.265756823821334,39.15037220843672
55,56,lh.isthmuscingulate,-6.779677737586326,-47.57546859585662,20.748766853008874
56,57,lh.postcentral,-47.103965970223946,-19.94007256349306,40.69748529963718
57,58,lh.supramarginal,-55.42012201426947,-35.34846448143935,34.48112914900217
58,59,lh.superiorparietal,-24.52227151730257,-62.876131322094054,51.89299023957409
59,60,lh.inferiorparietal,-43.51810632651314,-66.02200154096396,33.79847615786319
60,61,lh.precuneus,-8.792065663474688,-59.49204856361149,38.409370725034194
61,62,lh.cuneus,-7.0064249655805355,-78.46351537402478,24.535566773749423
62,63,lh.pericalcarine,-9.405372405372404,-75.12026862026862,8.74236874236874
63,64,lh.lateraloccipital,-31.030093032086583,-87.27900132902981,-0.10603759255742773
64,65,lh.lingual,-15.113546936481171,-64.4406970207982,-4.642683155330715
65,66,lh.fusiform,-33.8983680250171,-35.85615166617805,-24.985341542069776
66,67,lh.parahippocampal,-25.1254851228978,-30.975420439844754,-18.728762397585164
67,68,lh.entorhinal,-24.585448392554994,-6.357445008460232,-32.684856175972925
68,69,lh.temporalpole,-28.238879260543044,13.247255921432696,-36.924032351242055
